,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
Demand Answers,0.5180683070143225,-0.013816531788583886,-0.01729106750393472,-0.027848267634572044,0.5042517752257386,0.5280217350097934,0.00010380918398509206,16.33294817885766,17.09998821357011,0.518102907050245,0.5180423673950655,9.915270123826728e-05,3.460003592248295e-05,6.455266531578433e-05
Detective's Satchel,0.5522320229709352,0.02881149491468793,0.0021530648736869384,0.00708253909812584,0.5810435178856231,0.5283517811945148,0.013099933375493523,20.040823415468342,18.180065858164003,0.5683981039224201,0.5386422916935993,0.014440731600252794,0.016166080951484862,-0.0017253493512320688
Dog Walker,0.5661863308861967,0.003247145151876296,0.010932124328443371,0.015655245148154306,0.569433476038073,0.5639568483914468,-0.008855045956956504,12.239087572217123,16.13505682547836,0.558394657969064,0.5714090810190562,-0.0067169074206210435,-0.007791672917132786,0.0010747654965117424
Doorkeeper Thrull,0.5218117303276978,-0.00808232443653456,-0.006445430841352184,-0.025117385933465908,0.5137294058911632,0.5274291860882037,-0.0036534955596548217,12.541151392283119,16.24009790832221,0.5195390202897807,0.523369006058794,-0.0028213525055895985,-0.0022727100379170695,-0.000548642467672529
Doppelgang,0.569557911814126,0.05315199949551341,0.03152622010257977,0.024085602382192928,0.6227099113096394,0.5264591847427433,0.016805403862511722,14.903919262619898,17.27335576062467,0.5843338619144706,0.5583376338742458,0.014500157688730279,0.014775950100344604,-0.0002757924116143246
Drag the Canal,0.5263528307788552,0.024664089405728618,0.009477227852620063,-0.013314509188829149,0.5510169201845838,0.5055499495459133,0.01409849748711367,17.783515850036437,17.881865550525326,0.5399031512944454,0.5153679783931499,0.014020956192482906,0.013550320515590242,0.00047063567689266395
Dramatic Accusation,0.5281945229409649,0.0022744794378198874,-0.0066711020950612765,-0.01590487968914711,0.5304690023787848,0.5263121862163396,0.007034828780864268,16.870934837767322,17.611257258349106,0.5348068981560143,0.5229914440165784,0.00673910648261899,0.006612375215049426,0.00012673126756956345
Drown in the Loch,0.5165289256198347,0.0248911927233606,0.008936721043339979,-0.022271606710830727,0.5414201183431953,0.4948453608247423,0.01680082632853682,17.12055613147143,17.695652173913043,0.5319894146948941,0.5042613636363636,0.016254811486228028,0.01546048907505948,0.0007943224111685472
Due Diligence,0.5332026396443659,-0.019113196212429795,-0.011644791843350877,-0.015973588614136114,0.5140894434319361,0.5456201885847037,-0.010814774760681385,11.383873765191707,15.912429293082065,0.5253185903788313,0.5383942575186894,-0.007736972677584944,-0.007884049265534543,0.00014707658794959905
"Duskmantle, House of Shadow",0.5257142857142857,-0.02571428571428569,-0.03677760720765627,-0.01301000520487261,0.5,0.5454545454545454,0.008255423708498143,19.614563265306124,17.702857142857145,0.5348612007746933,0.518452075858534,0.009146915060407637,0.009146915060407657,-1.9081958235744878e-17
Elegant Parlor,0.5468717948717948,-6.841730846551819e-05,0.0037001706705452886,-0.0013273527333362845,0.5468033775633293,0.5469223907225691,-0.0020524433817162282,13.761896613531718,16.52562766954891,0.5452378809648679,0.5480219941060689,-0.0017091946030197078,-0.0016339139069269093,-7.528069609279847e-05
Eliminate the Impossible,0.5381521296717504,0.0005592942589480732,-0.007768074177796902,-0.006316437723100754,0.5387114239306985,0.537702244538861,0.005971214796063075,17.84351264712774,17.85199201638197,0.5441800808398346,0.5332782691814313,0.005968378578395842,0.006027951168084189,-5.957258968834669e-05
Enlisted Wurm,0.5708731572979102,0.027875376139712027,0.019381070666601774,0.02221220091365006,0.5987485334376222,0.5514096185737977,0.007747673438132159,13.282166201629726,16.58880499015102,0.5769670106514884,0.5665533970503761,0.006203333292682616,0.006093853353578149,0.00010947993910446693
Escape Tunnel,0.5523481258078414,0.0010481572832267139,-0.0034860767597932885,0.006462981873432083,0.5533962830910681,0.5515441714165507,0.005150607123130714,14.861829040278682,16.954472674747393,0.5574440801204416,0.5485839422029899,0.004514881942133347,0.005095954312600126,-0.000581072370466779
Essence of Antiquity,0.5293821778858244,-0.01249524690197712,-0.012458263881018339,-0.017799509383769174,0.5168869309838473,0.5376239006003072,-0.001875831724935685,13.484745417527222,16.46476893340362,0.527832890733901,0.5304675082147159,-0.0015363175371116262,-0.001549287151923373,1.2969614811746914e-05
"Etrata, Deadly Fugitive",0.5332244564662652,0.044522921554710715,0.04546360740921307,-0.007432969449046811,0.5777473780209759,0.496956281128943,0.010456547028878405,15.905176481073704,17.27165685449958,0.5424499571272287,0.5262215239591516,0.00962925718580556,0.009225500660963504,0.0004037565248420569
Evidence Examiner,0.5521567082081342,0.02476070677788078,0.006928381292224395,0.007768944242696474,0.576917414986015,0.5322011795738123,0.01454559084649841,17.54856085955491,17.60717976274129,0.5674911634489935,0.5400383756982327,0.014497164772981297,0.015334455240859302,-0.0008372904678780047
